,V1,V2
pen,2.7416215,-0.9896598
identitaire,2.1325345,-0.6558786
musulman,2.783378,-0.8672548
peuple,2.788694,-0.1868125
service,2.3369303,-0.60305375
confinement,2.6973894,-1.0971473
exemple,3.220979,-0.21246704
total,1.9147565,-0.5253029
gare,3.2383702,-1.0002574
italie,2.2244136,-1.0110227
travers,3.1027875,-0.687803
détention,2.6113992,-1.1200085
facebook,2.9250593,-0.57126456
grâce,2.899517,-0.5146355
religion,2.3685308,-1.1878818
sens,2.6973438,-0.34210825
terrorisme,2.9133606,-0.28317824
pierre,2.7942307,-0.25516403
majorité,2.223104,-0.42716667
personne,2.9200926,-0.539516
logement,2.906557,-0.95916134
voix,2.8237302,-1.1066946
obono,2.8716002,-1.256306
noir,2.578169,-0.116829
interdiction,1.811088,-0.3613309
idée,3.1781323,-0.2118655
urgence,1.9289705,-0.7084293
mesure,2.7829907,-0.33874023
blanc,2.6397328,-1.0438815
voile,2.2431402,-0.73504823
meurtre,2.5995648,-0.68146527
policier,2.556765,-0.6100245
algérien,1.9389449,-0.3531514
époque,3.1966538,-0.659439
françois,2.8555138,-0.840014
damien,2.4623537,-0.5042412
suspect,2.1861916,-0.14944609
peur,2.5426524,-0.7017406
trump,2.7315938,-0.22464755
jean,2.4073656,-1.0288203
islamisme,2.3774054,-0.6921413
départ,2.6278653,-0.5202352
système,2.7911272,-0.48897797
message,2.7522593,-0.9133087
université,2.985555,-0.8427354
réseau,2.4360301,0.002650192
intervention,2.4640486,-0.5647437
mise,2.511187,-0.67364484
raciste,2.3814104,-1.0852505
fuite,1.8065072,-0.94069195
intégration,2.4232106,-0.63193816
toulouse,2.688332,-0.92520237
trafic,2.1247785,0.07665559
bon,2.4284341,-1.2048517
heure,2.4883006,-0.81381387
mali,2.1292841,-0.94944394
présence,1.9194824,-0.47737536
radicalisation,2.2873898,-1.2189287
période,1.984162,-1.0366362
enfant,1.9772829,-0.92496186
office,2.1321352,-0.70791197
twitter,2.501786,-0.4205259
âge,2.4633863,-0.28564388
attentat,2.4506433,-0.86615664
hôtel,2.2156875,-0.89077276
sol,2.3896801,-0.2588423
route,2.3375196,-0.30889657
frontière,2.5599964,-1.0127947
pied,2.7339163,-0.30345508
cœur,2.476082,-0.32315853
audience,2.454672,-0.7999461
journal,2.1805358,-0.5096202
