,V1,V2
sol,2.5764194,0.91848904
heure,2.6241543,1.0559609
propre,2.1215916,1.5957022
saoudite,3.2782269,-1.5300375
jeu,2.3080914,2.0665407
directeur,3.0529344,0.38348496
colère,2.5700147,1.4157178
arme,3.4575295,-0.4165792
moyen,2.128159,1.8428009
intention,2.9670742,-0.06372934
liberté,3.0586116,0.51973075
dossier,3.1749115,0.30302516
démembrement,1.4849908,3.9548438
aérien,2.9294796,0.38158044
nation,2.275007,1.275081
ligne,2.8535638,0.65418535
domaine,3.0204954,-0.10101443
eau,2.9382641,0.43697095
bloc,2.269317,2.2644944
peine,2.3296149,1.8361865
ennemi,2.6011953,0.9140617
succès,2.2132819,1.2910397
création,2.6177819,1.2000436
travail,3.02278,0.76947075
unité,2.6661015,1.0971144
particulier,2.4189394,0.8235482
gabon,2.4212859,1.39175
italie,3.333871,-0.57337385
peur,2.19294,2.2418926
indépendance,2.1863904,2.2603936
réaction,2.737331,0.33630475
assemblée,3.206028,-0.25223303
zoom,1.731298,4.38877
justice,2.8301313,0.5614458
burundi,1.9224998,2.600418
corne,1.3855264,3.4559286
parti,3.0058057,0.85610557
idée,2.3363166,1.3080691
allemand,2.6693642,-0.43975887
contrat,3.1863332,-0.26053154
mobile,3.9723184,-2.2272332
protection,2.8754144,0.35622394
ukraine,3.3083575,-0.6603223
direction,2.9116113,0.6499588
réalité,2.184535,2.0500124
siège,2.7336671,1.0262661
burkinabé,1.7482591,3.243145
ahmed,2.050013,2.1564746
biden,3.423857,-0.732578
nigeria,1.8892596,2.6206589
participation,2.7625644,0.43749967
appui,2.1039903,1.3630044
sorte,2.699646,1.4574548
ciel,2.1345177,1.8264604
analyse,2.0663912,1.6462481
voie,2.5589921,0.76216125
détroit,3.5894072,-0.94074994
alger,2.4316673,1.3044391
pandémie,2.5529423,0.6261165
période,2.8726077,0.86593425
difficile,2.3042557,1.5884107
respect,2.990339,0.11344941
afp,2.773914,0.28385207
rappel,2.2717574,2.3389232
quotidien,3.0944848,-0.18736279
encontre,2.349029,1.8214886
prise,2.3489904,1.0977367
ingérence,2.0109262,1.472486
humanitaire,2.3592496,1.7832102
commerce,3.1054873,-0.40356028
sanitaire,3.341529,-0.051220756
press,5.597688,-2.661833
nécessité,2.4367163,0.33653066
représentant,3.1033664,-0.26203564
vrai,2.27469,1.8701975
type,2.9910362,0.5763689
titre,2.8010361,0.69824433
date,2.8579519,0.72761464
égypte,2.1660695,1.2515802
manœuvre,2.2775595,1.41374
tour,2.562564,1.5218294
incident,2.883077,0.5715687
asie,2.8178751,0.116088115
traité,3.719915,-1.4948925
petit,2.1428683,2.037523
numéro,1.8979928,3.2282798
entretien,2.7650163,0.14875403
prêt,2.8185084,0.93002915
terre,2.353179,1.7196034
sénégalais,2.3019693,1.5618365
reconnaissance,2.838407,0.28006536
compagnie,2.5076585,0.7335383
scène,2.1790886,1.7258734
bilan,2.5424273,1.2261665
partenariat,2.7745025,-0.027556442
époque,2.7529163,0.496844
mal,2.3705232,1.7666651
présidence,2.444947,0.54290086
beyrouth,2.7987988,-0.26241267
soir,2.7448788,-0.08561142
parly,2.7685225,0.052703623
stabilité,2.1588342,0.9581764
embargo,2.9486372,-0.77230656
interview,2.796071,0.37879112
explosion,3.0516288,0.29135895
délégation,2.6337943,0.17512147
congolais,2.1396122,1.8673443
normalisation,2.4548285,1.0085324
entier,2.2266657,2.001662
surveillance,3.363302,-0.34086478
pétrolier,3.1731055,-0.65429795
méditerranée,2.8117163,-0.36826935
facebook,1.865351,1.0642462
ouattara,2.1310287,1.3460654
entreprise,2.8254826,0.387889
objet,2.7828243,0.9124686
solde,1.7754639,2.5213122
frappe,2.606145,0.4978259
mobilisation,2.655429,0.593501
atlantique,2.5962696,0.27457362
palestine,2.5564554,0.73292637
global,3.4465706,-1.2244017
armé,2.2683232,1.5610775
nécessaire,2.6608372,0.6342985
dette,2.5473294,1.0873379
tshisekedi,2.0207694,1.7189691
entrée,2.4749122,0.6450609
transport,2.9521596,-0.0056609693
porte,2.1161668,2.2831318
égard,2.7630053,0.33362034
pc,4.6875186,-2.7155957
approche,2.7583466,0.5985152
forme,2.407512,1.3404026
leader,2.8893785,-0.8554855
industrie,3.2569933,-0.49034044
diplomatique,2.5946095,0.5292462
djibouti,1.9579325,1.7538719
solution,2.4896343,1.0912635
françois,2.428635,1.4522126
flotte,3.155835,-0.57741076
victoire,2.4628932,1.0330275
confiance,2.8370621,1.0353383
liste,2.312763,0.32820985
junte,1.6344024,2.69315
ansarallah,2.208832,0.6232542
européen,2.9135118,-0.3432032
uranium,3.5116677,-1.4470057
texte,2.7521825,0.57332057
bord,2.628913,0.4743272
principal,2.6740322,0.4523236
australie,3.475342,-0.8867638
renforcement,2.2950597,0.9940886
département,2.7973473,0.3929685
saoudien,2.7721827,0.22961909
turc,2.8679125,0.00091118005
ankara,2.811237,0.32142946
recherche,3.2137625,0.004437036
public,2.5941575,0.46256518
contraire,2.321062,1.3960437
abiy,1.6957468,1.8357611
fonds,2.9389546,0.47746283
diplomate,2.9512544,-0.47871158
bien,2.3352008,2.1883276
voix,2.2941217,1.3714814
engagement,2.4150527,0.030426485
pentagone,2.65974,0.071423836
nuit,2.3246372,0.74227655
lancement,3.007788,0.2496103
village,2.1958888,1.9681389
étranger,2.7047722,0.60957944
maintien,2.3440773,0.6797637
profit,2.363913,0.6738951
avenir,2.148471,0.69559777
échange,2.5577161,0.17096998
argent,2.638274,1.0106666
véritable,2.432204,1.2552418
irakien,2.4669068,0.31878057
poste,2.3000426,0.78045446
brigade,2.6939383,0.16962512
matin,2.7907097,0.64556533
risque,2.6040275,0.84208447
phase,2.5022204,0.5889602
mondial,2.6745358,0.6739286
journaliste,2.671007,0.9738469
anniversaire,2.7276258,0.53974193
etat,2.0972366,1.7440076
vaccin,3.0265548,0.49696264
possibilité,2.8442645,-0.03033708
riposte,2.4803348,0.3647844
choix,2.185139,1.4211712
autorité,2.169484,1.0046402
plein,2.390354,1.5090649
médiatique,2.0391426,1.9222274
nature,2.5754187,0.9442129
matériel,2.1771512,0.8872425
passage,2.3277514,1.2791253
prochain,2.2132785,0.48746768
riyad,2.7886908,0.050178155
insécurité,1.9770054,2.1476223
importance,2.5622303,0.40888914
haftar,2.1340628,1.6364806
réconciliation,1.8857987,1.2823324
simple,2.3721461,1.5214462
sûr,1.9311105,1.7237573
inde,3.025492,-0.74995136
aiea,3.589843,-1.8621697
minusma,1.8897125,2.155737
image,1.9931048,1.54189
marche,2.6825502,1.2820735
reprise,2.6439953,0.3888454
levée,2.79626,-0.65032625
danger,2.2500746,1.1061295
vente,2.7910714,-0.1428078
épidémie,2.8583295,0.11757962
majorité,2.5138032,1.2613027
bataille,2.5356154,0.8684304
sécurisation,1.9993285,2.1692553
issue,2.6379774,0.15788923
voisin,1.907205,1.8816957
implication,2.0548298,1.1545545
khartoum,2.062585,1.063382
comité,2.9196887,-0.36648852
pied,2.0871317,1.6247041
hassan,2.9413526,-0.27959678
kidal,1.6393499,2.655382
tunisie,2.095641,1.1945328
signature,2.46126,0.15549794
responsabilité,2.1574538,0.9093882
colonel,2.488213,1.3301156
ghana,1.753385,1.9225308
allié,2.3132837,0.7135642
faca,1.8931919,1.7437024
vladimir,2.7337031,-0.6959034
erdogan,2.6328611,0.13753651
arabe,2.442832,0.18137507
commun,2.739178,-0.06334117
océan,2.5226805,0.07687222
touadéra,1.9689327,1.159557
élection,2.2141094,0.49920848
lien,2.4435103,1.0197134
cgri,2.668933,-0.17753
pompeo,2.6608932,-0.45661893
algérien,2.0519426,0.6969357
réforme,2.7223032,0.47781545
violation,2.5130599,-0.3555705
conjoint,2.8272784,-0.805557
pierre,2.4390633,1.1298167
journée,2.4037275,0.7048401
déplacement,2.3751936,0.42340794
opinion,2.4449663,1.4813089
fer,2.731587,0.2441218
nigérien,1.42475,2.0720308
personne,2.277084,2.1239357
livraison,2.5172145,0.4778232
décès,2.6667533,0.45464987
personnel,2.7341173,0.45351964
grèce,2.5876212,-0.32561204
florence,2.1918983,0.77907366
twitter,2.8415635,-0.06778167
joe,2.7433736,-0.70955086
érythrée,1.7716972,2.0486314
gestion,2.4132822,1.0566895
congo,2.0886755,1.3180197
démocratique,2.126761,0.8860147
montée,1.8300561,0.9557594
document,2.173905,0.17086804
londres,2.54787,-0.16305825
aviation,2.3255646,0.44595307
mécanisme,2.5480459,-0.30413088
ivoirien,1.9036027,1.7660536
extrême,2.5702717,1.0039192
charge,2.4988987,0.47781628
new,2.8397455,0.3714863
cœur,2.400211,0.69553894
version,2.4829066,0.94244313
analyste,2.4201257,0.8648607
usage,2.6426935,0.4032017
bras,1.8162545,1.6838928
technologie,3.4454482,-0.40320137
pologne,3.1041832,-0.37904626
souverain,1.5130938,2.0731483
résultat,2.404112,0.38372502
série,2.3936307,0.18890458
chasse,2.2398684,0.90497816
utilisation,2.6105843,0.3243334
atomique,3.368413,-1.7806597
banque,2.4166658,0.6526054
cour,2.8383734,0.75904226
plupart,2.0843365,0.84850216
second,2.136072,1.1479281
vol,2.648656,0.3946675
piraterie,1.8971877,1.326157
pacifique,2.5226617,0.10088724
sortie,2.1084287,1.5200218
virus,2.5800703,0.71346855
école,2.173497,1.8346648
coordination,2.296967,0.85392195
empire,2.3851893,0.9626922
intégrité,1.6626171,1.8906007
convoi,2.1980941,1.9138105
télévision,2.1859689,0.8165554
sergueï,2.973815,-0.73534703
débat,2.703667,0.5256229
sall,1.9939897,2.35871
provenance,2.1293073,1.0764451
défaite,2.1052382,1.396711
solidarité,2.2552888,0.7398391
signe,2.3737218,1.1667366
urgence,2.5566947,0.48226112
bureau,2.6121755,0.23164807
boko,1.9114126,1.8904048
classe,2.6313703,0.38976777
yéménite,2.2566326,0.98634446
attention,2.05015,0.56220275
anglophone,1.8208379,1.2217138
croissance,2.432618,0.8632082
localité,2.0199418,1.027264
augmentation,2.5752013,-0.050127987
indien,2.4366252,-0.6706338
somalie,1.4939986,2.0972435
armement,2.8766108,0.04837292
équipe,2.6811073,0.2521286
communication,2.3582523,1.0473082
bozizé,1.9983736,1.1243832
biya,1.594347,1.6107932
naval,2.9677815,-0.47546303
berlin,2.484777,-0.33547398
barrage,1.8096915,1.8800287
veille,2.5275912,0.24910635
imam,1.9196982,1.0945585
technique,2.9419198,0.6401675
fama,1.6264408,2.6634932
division,2.0402,1.2129778
rassemblement,2.3630807,0.8690021
expert,2.5623431,0.9303979
libre,2.2074687,0.700142
sang,1.6977432,2.0069957
bagdad,2.232665,0.06649763
été,2.9016573,-0.053454
nigéria,1.7203491,1.501424
kenya,1.6845266,1.7069943
assaut,2.047136,1.4205503
chemin,2.0470967,1.0931673
champ,2.4663813,0.8874293
spécial,2.5369923,0.18198188
achat,2.5681198,-0.08932082
marge,2.5307105,0.59299695
propagation,2.294034,0.54363245
modèle,2.2199135,1.0987918
lettre,2.667676,0.060629908
dos,2.008547,1.1169944
toile,1.6089569,1.617815
démocratie,1.8010069,1.0175513
association,2.4749873,0.3363247
proposition,2.58205,0.29043952
burkinabè,1.674099,2.0841322
événement,2.1565056,0.5756952
erreur,2.5975385,0.1034831
mauritanie,1.6762689,1.9601192
rouge,2.310623,-0.5181113
monnaie,2.177339,1.3560847
actuel,1.819649,1.045479
apparition,1.878396,0.7626599
extérieur,1.88396,1.6731058
massacre,1.7419401,1.6855475
destruction,2.098477,0.8365177
fabrication,2.2679682,0.6764862
rapide,2.3380773,0.2869914
trafic,2.1516073,1.0561813
piège,1.6580372,1.4059948
étape,2.242993,0.7352439
ampleur,2.1756072,0.89320296
uss,2.8920264,-0.41561505
madagascar,1.6992964,1.0595505
tripoli,1.988984,0.9205203
exploitation,2.1023295,1.1475508
carte,1.962318,0.6207928
présidentielle,1.9869157,0.46053568
fmi,2.2340255,1.4134662
hormuz,2.04209,-0.4878024
taux,2.5518775,0.57049894
bel,1.5890411,1.6979463
mirage,2.1610825,0.9562741
constitution,1.7842582,1.2224268
congrès,2.6181219,0.27430695
agression,2.247344,-0.073211834
observateur,2.9423406,-0.4887156
croisière,2.694865,-0.5461486
cérémonie,2.605529,0.66188335
vague,2.0452826,1.3611635
capable,2.2638152,0.39068794
soulèvement,1.8539464,2.5907593
news,2.5588627,-0.17244242
