,V1,V2
diplomate,2.7724316,-0.19466524
étranger,2.431305,-0.56173825
bras,2.2926924,0.16395968
toile,2.348599,-0.17458867
soir,2.2169635,-1.1243103
signature,2.4899704,-0.39091823
attention,2.2858765,0.8678606
public,2.7107089,-0.16651875
liste,2.412344,0.1875709
confiance,2.5205324,-0.79606843
macky,2.4452033,2.4165728
marine,2.90063,-0.01957853
turquie,2.67891,0.17402256
actuel,2.4015,0.5336231
époque,2.5950122,-0.22518085
intérieur,2.396484,0.043538462
matin,2.632628,-1.5756023
journal,2.4216323,-0.10524223
échange,2.735043,0.038981486
énergie,2.736274,1.5452653
florence,2.379437,-2.2713525
pied,2.5088947,-0.33093157
reconnaissance,2.7321737,-0.66514397
prêt,2.5645483,0.37417346
espace,2.4330683,-0.111475095
proie,2.2285917,-0.6009465
constitution,2.6882792,-0.11718181
renaissance,2.3461,2.101341
bureau,2.4100568,-0.15501788
monusco,2.2826543,0.110134125
extérieur,2.5166488,-0.26012596
risque,2.879374,0.17364675
solution,2.5763566,-0.3861458
rapprochement,2.8975503,1.619211
véhicule,3.0309477,-1.7536018
gabonais,2.8001037,0.71156794
piraterie,2.8230128,1.5862805
port,2.6276023,0.62735695
soudanais,2.5430355,-0.4629623
mondial,2.7297788,1.2508831
chaos,2.4757278,-0.2895691
sioniste,2.9714718,0.52888846
souverain,2.034355,0.10561672
chemin,2.5623307,-0.98358285
minorité,2.6737206,-0.080253094
argent,2.5392027,0.05626393
financement,2.4172232,0.22344074
pandémie,2.600229,0.8863702
monopole,2.898713,1.6047702
ue,2.531538,-0.3050413
mirage,2.1847157,-1.240459
bord,2.500863,-0.79610014
arme,2.3401887,-0.15601695
reprise,2.2936862,-0.014264549
respect,2.6552792,0.22649261
fameux,2.4607081,-0.80326474
charge,2.4077814,-0.8479688
passage,2.282933,-0.86718917
gestion,2.3427804,0.3559113
provenance,2.5775099,0.6394553
réaction,2.5392346,-0.28968817
joseph,2.1656165,0.3698351
suisse,3.2507262,0.7335652
maputo,2.2584054,-0.16371584
minier,2.830308,0.92695636
soulèvement,2.2085488,-0.6687145
approche,2.7282236,0.2712624
emprise,2.335016,-0.73842067
version,2.5443313,-0.5230123
carte,2.450594,-0.03751019
océan,2.8622544,1.8517178
résultat,2.252422,-0.23181741
mohamed,2.5498142,-0.7119608
code,2.5584166,1.2895249
assistance,2.2678192,-0.33233872
silence,2.6759229,-0.39447123
jeune,2.3625245,-0.0039638644
pierre,2.6362371,1.2533125
résolution,2.2260492,-0.12952442
banque,2.4270391,1.2451434
interne,2.2096236,0.44549417
avenir,2.2519648,0.24464689
transport,2.7332091,-0.30576742
nécessaire,2.5653348,-0.15418878
urgence,2.2848623,-0.7769754
collimateur,2.2148316,0.27450904
néocolonialisme,2.39644,0.562639
dos,2.4552302,-0.07217512
gendarmerie,2.2053878,-1.180878
allié,2.4094315,0.80786127
lien,2.263628,-0.06371159
lancement,2.2525504,-0.3049469
talon,2.5073009,0.052792717
entité,2.5145504,0.35012642
aérien,2.2765734,-0.17770702
équipe,2.5978231,-0.5933173
corruption,2.77183,0.49212876
acte,2.9024992,-0.23044942
ouagadougou,2.3930824,-1.6644925
sentiment,2.5571384,-0.43435997
fort,2.6568587,0.050559506
kaboré,2.1460547,-0.47044343
division,2.0568824,-1.058555
ouverture,2.3749166,0.5913039
chaîne,2.2867444,1.2601446
défaite,2.241544,-0.5914465
mozambicain,2.0562224,-0.2605424
importance,2.4469495,0.51030725
étape,2.3834069,-0.05177495
issue,2.3000653,-0.18750855
marche,2.8649254,-0.55894345
diaspora,2.4869204,0.3496991
personnel,2.6410663,-0.38715917
interview,2.5808008,-0.19086316
ampleur,2.4251244,-0.6116251
type,2.5152302,-0.84266937
kinshasa,2.4450548,0.4003115
analyste,2.5103164,1.0047648
fils,2.3311718,-0.07744345
surveillance,2.396586,-0.93215984
takuba,2.170772,-1.6400828
laurent,2.6860034,0.98735833
arrière,2.2072105,-1.1910974
bout,2.3534293,-0.90553963
embuscade,2.2508202,-1.8451904
social,2.3229337,0.8070019
modèle,2.4950972,0.53495365
religieux,2.526074,-0.8368851
crainte,2.5828896,-0.785575
dizaine,2.3171763,-1.2645977
détachement,2.576494,-0.24458048
fmi,2.5908732,1.1895553
bongo,3.02225,1.4483892
extension,2.24377,-0.946481
croissance,2.6325212,1.7248309
phase,2.5116458,0.16124286
déplacement,2.2244039,-0.7427815
publication,2.625194,1.2821578
britannique,2.5609431,0.84181035
forum,2.1756616,1.0813017
lettre,2.6248956,-0.58009493
cérémonie,2.747571,-0.6179865
zimbabwe,2.6021113,0.78897774
journaliste,2.478295,-0.20653436
irak,2.2804337,-0.856485
nagy,2.1769161,0.9801278
indien,2.3758206,1.5612177
instabilité,2.4215653,-0.3382221
clan,2.3689039,0.75489706
sang,2.302379,0.42403728
principal,2.409331,-0.08144102
mopti,2.4345806,-1.8776636
logistique,2.4915738,-1.0693526
cie,2.047891,-1.4204712
vaste,2.0035834,-0.3301921
guinéen,2.1564748,0.13385159
antiterroriste,2.114476,-2.0151403
mot,2.712375,-0.14162703
palestine,2.400978,0.21957432
représentant,2.3755722,-0.086929485
omar,2.7705033,0.77578473
ua,2.5249462,0.47291657
béninois,2.2561102,-0.068058215
empire,2.276789,0.44224343
