,V1,V2
poutine,1.8112483,1.4317454
gendarmerie,1.5864532,0.8648053
ogossagou,1.8331869,1.3522911
victoire,1.9214233,1.2725623
moyen,1.6998364,1.1669677
tripoli,1.9434682,1.0747648
fonction,1.0240695,1.4884505
july,1.5482123,1.3041275
surveillance,1.6577767,0.7687188
gnassingbé,1.8959626,0.59106266
tenue,1.5197287,1.1556268
règlement,1.9059029,0.43174413
fondation,2.2315454,0.75559175
déby,1.0786211,0.83729684
fort,1.3066751,1.5773933
présidentiel,1.9733768,0.84533095
anonymat,1.9489559,1.0232255
hogard,1.3836168,1.126077
alassane,1.4722722,0.6951644
passeport,1.7359717,1.5275264
élite,1.8684607,1.2731192
détachement,1.6996047,1.0061172
légion,1.0194069,1.134233
instar,1.2374985,0.83349156
goïta,0.9205061,0.63113415
alpha,1.5752858,1.157646
interlocuteur,1.4033911,1.2681977
provisoire,1.6895504,0.7956987
implication,1.5394881,1.1232595
italie,1.6081676,1.6760676
esprit,1.4183983,1.0728072
vol,1.7306439,1.3300809
autorité,1.5765387,1.1522572
mobilisation,1.6316465,0.5551781
institution,1.4547697,0.818634
statut,2.0423586,1.3544259
échange,1.3922476,1.2552865
victime,1.4532706,0.9719901
jeu,1.7756042,1.4708743
candidature,1.6572906,1.1980035
logistique,1.4376491,1.121012
déplacement,1.2138169,0.7252706
solidarité,1.1460727,0.7589597
scène,2.0967968,1.133522
instabilité,1.178757,0.6966846
burkinabé,1.4222751,1.019414
francophone,1.4978677,1.2286692
élément,1.3638328,1.3795204
court,1.697469,0.7161304
moctar,1.1895591,0.8033316
golfe,1.7505649,1.0867822
massacre,1.4105324,0.6483202
collaboration,1.8023636,1.1558206
ramadan,1.7114803,1.2224038
bassin,1.4756268,1.3456248
sonatrach,1.2020464,1.1595594
partage,1.3447199,1.4504755
printemps,1.1205504,1.4035903
principe,1.4307529,1.2167809
arme,1.5228759,1.0823523
tank,0.9998793,1.4124864
dizaine,1.1914467,1.4782993
calendrier,1.2905283,0.7094907
manifestation,1.4179326,1.4125367
constitutionnel,1.1681117,0.7567988
neuf,0.6191306,1.1397321
yaoundé,1.5555819,1.0997133
