,V1,V2
veille,2.3165946,1.6502969
arrivée,2.1340184,2.1535983
parquet,2.1476803,2.0393438
onu,1.8197702,1.6785108
espace,2.145276,1.9712173
dossier,2.6725485,1.7276253
donald,1.1237106,2.5454113
compagnie,2.6081223,1.780812
hexagone,2.1118586,1.588083
dose,2.7431133,1.8680137
particulier,2.4451225,1.8950595
grâce,2.4609551,2.1355317
peine,2.136221,1.804584
vladimir,1.82514,2.183702
préfecture,2.316587,1.8828309
twitter,2.2182477,1.9291232
michel,1.9986186,1.6928228
marseille,2.128988,2.344523
mission,2.280104,1.6056325
reuters,1.8525015,2.537307
époque,2.0476234,2.4048169
tribune,1.6008896,2.6091607
difficile,2.041649,2.2140107
réaction,2.247716,1.850302
paix,2.4097643,2.2257853
présidentielle,1.289261,2.2034464
rencontre,1.733427,2.1213107
avocat,2.5153015,1.6980556
maladie,1.9214802,2.0992575
nucléaire,2.6203134,1.4756575
analyse,1.9344921,1.9627439
cour,2.5725865,2.0437686
opposition,1.9753191,2.127125
christophe,2.620202,1.2032045
intérêt,1.7980413,2.3141694
boeing,1.9292861,2.367331
policier,2.0768802,2.272145
présent,2.4194756,1.8524431
pen,0.86722237,3.3265746
cité,2.0919137,1.96624
indépendance,1.585382,2.5217638
poste,2.2957954,1.8710599
équipe,2.4580605,2.091852
augmentation,2.3152244,1.7723774
dialogue,1.8735279,2.1700697
note,2.4230957,1.6248716
danger,2.4543915,1.4905295
solution,1.8309932,1.8736614
preuve,1.9196259,2.3215322
encontre,2.2075539,1.788364
avis,2.117622,2.1927023
initiative,2.4570866,1.9386714
accès,2.6537373,1.9094
maison,2.0928185,2.4671729
application,2.5452268,2.0258641
corps,2.350554,1.9922855
activité,2.4084923,1.690968
petit,1.8012325,2.5587807
titre,2.3939984,2.4319456
gestion,2.1840246,1.6784325
baisse,2.5431602,1.5043179
publication,1.7786537,2.4330232
formation,2.5258274,1.8704919
gaz,2.829451,1.5636625
sommet,1.9296916,1.7543037
milieu,2.0839505,2.2761624
vol,1.9471872,1.9115864
véran,1.6845174,1.5243047
main,2.6918752,1.8440101
passage,2.176352,1.8451455
polémique,2.114038,1.7195711
confiance,2.051375,1.4028413
peur,2.584215,1.8289217
cameroun,2.3732862,2.4135597
manque,2.1249144,2.133926
haine,2.1306326,2.4820938
pression,2.5795617,1.6650625
circulation,2.0814128,2.0131426
annonce,1.9929738,1.9629554
banque,2.278865,1.8428266
terre,2.3126528,2.4594352
création,2.1283586,1.9365402
expert,2.0085135,1.9423436
gérald,2.0487068,1.3066792
œuvre,2.2532494,1.8295186
parlement,1.9538236,1.7132151
facebook,2.3305244,1.6159998
